name,image,description
"Nature Valley Sweet & Salty Nut, 48-Count, 1.2-Ounces Each",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT2C97Rz3CFmy6Pf9VfEV9e5RMjr2XyF6NOfJ3VIU7KDPWnDX7gbF7waonHJiZMQiPWbiihKU8&usqp=CAk,"Nature Valley Sweet and salty peanut granola bar is a delicious combination of savory nuts and sweet granola. 1.5 oz Bar is tasty and sold as 96 bars per 2 box. Roasted peanuts, high maltose corn syrup, sugar, rolled oats, high fructose corn syrup, palm kernel oil, crisp rice (rice flour, sugar, malt, salt), wheat flakes, fructose, peanut butter, yogurt powder, canola oil, water, maltodextrin Each bar is bursting with nuts, and dipped in a creamy peanut butter coating. High in protein and absolutely free of trans fat and cholesterol, these bars are the perfect heart healthy choice to keep you moving. Nature Valley Sweet and salty peanut granola bar has a creamy peanut butter coating and is filled with savory peanuts."
"Organic Luke/Urbani White Truffle Chips, 12 Ounces",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQwo0QO-CiN_ZC1rC4RdgvXW_APxGDdab2JOLlQ6G5x9uVH33Fain_VRFc0Ug&usqp=CAk,"Organic Luke/Urbani White Truffle Chips, 12 Ounces"
Kashi Chocolate Almond And Sea Salt Bars 35 Count,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRs_yNw6uohXJS8AlaaNuADkn_JnjphsXue98s8WYq7VYUAbWU9vgPoKJw1A0LccLtbpyIWKJQf&usqp=CAk,"6g Protein, 160 mg ALA Omega 3's per serving."
"Organic Annies Cheddar Bunnies Snack Crackers, 54 oz",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSgKGfNSWaq_qu78va45usiTtO90yD9LCM3zlThPM9ZhfXJe6UKzzjWgm_e1jHvnHDEw1WxF7wq&usqp=CAk,"Organic Annies Cheddar Bunnies Snack Crackers, 54 oz"
"Kirkland Signature Soft & Chewy Granola Bar, 60-Count",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRM4DDIw5aYp_SxhmzUONuMviwbHJjVvAzM7CBRVfM62PDgA6rcbQZvkYI6DS0anIIiMjX3OZSH&usqp=CAk,"Go ahead and treat yourself to these Kirkland Signature Soft & Chewy Granola Bars. They are made with the finest ingredients and do not contain any artificial flavors or colors. Whole grain oats are gently blended with semisweet chocolate chips, rice crisps, sugar, honey and unsweetened coconut. The end result is a mouth-watering, soft and chewy texture sure to be enjoyed by the whole family."
Nature's Bakery Fig Bar Variety 36/2 Oz (4.5 Lbs),https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQPEAkeACuBwPZbD9NwHLxx3z6l9GFuYT70eTAw0TyOPfRtrNSC2OUbr8gv2tuUZ-wp63vjTiC9&usqp=CAk,Nature's Bakery Fig Bar Variety 36/2 Oz (4.5 Lbs)
"Orville Redenbacher's Popcorn Jug, 8-Pound",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSptGLvaZnS_fDGsK8E17T_ObLc12hPXL3mXk7yH9gg1xkZ8uaf&usqp=CAk,"Fresh whole kernels! 100% whole grain, high in fiber, 100% natural."
"Nature Valley Cinnamon Biscuits W/ Almond Butter, 30 ct",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRneteIB4ve400FCOkU82QeGzTGvUmqkUeWxm2b52KDTKOWVqQKF9vZKFmDiuE&usqp=CAk,"Each biscuit has a delicious crispy texture and 100% natural whole grain oats combined with the goodness of almond butter. With 14g of whole grain per serving, Nature Valley Biscuits with Almond Butter provide nutritious energy to help keep you going all day long."
"Skinny Pop Popcorn, 28 Count Box",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS8nLf7hFtjx1A6VSoGM_q0LEaqeqidgGLgpvbl6y_-ZThNfxJ7jdTMCWPuMg&usqp=CAk,"Skinny Pop Popcorn, 28 Count Box"
Utz Pub Mix 44 Ounces,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT_050GooOFCYuCizITjOVBAfARW8Ypp8E77EHTf4sfbF9mn6okMm_d-aBu8KpvabaLbMGLozb7&usqp=CAk,"Features: Original Pub MixSavory blend of crunchy snacksKosher44 oz. CanisterEach Assortment Contains: Honey Roasted Sesame ChipsNacho Bagel ChipsOriental Rice CrackersPretzel StixSeasoned Pretzel TwistixWorcestershire Rye Chips Model: UTZ 827612 Specifications Brand: UtzCase Count: 1Model: UTZ 827612Package Size: 44 oz."
"Kirkland Signature Organic Tortilla Chip 40oz, (2.5 Lbs)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSI9uyDVgmdhXXnzoNd40owHPtqQ6g_PtBvojjkFcth_uczXscA0nSyaXs2I3LF_w8CSXkgXAU&usqp=CAk,"Kirkland Signature Organic Tortilla Chip 40oz, (2.5 Lbs)"
"Mr. Cheese O's, Cheddar 8 0Z",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcROcl5Ok26REuGbWwJ4zKuGduYB7-sLt3NbDtTXwfEHM0CyPBLu94Sa7GBG0UM&usqp=CAk,"Mr. Cheese O's, Cheddar 8 0Z"
"Calbee Wasabi Ranch Snapea Crisps, 20 oz",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS3YaurBb5zlnpwPbgd-loZ-KCmavgwxzayfLV9WSP-HTg5Nf748r5eROjUNA&usqp=CAk,"Calbee Wasabi Ranch Snapea Crisps, 20 oz"
Skinny Pop Original Skinny Pop 2-9 Ounce Bags,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTpX5T-PXGEvTuakmgZnjFW1QlncyV18q4FzPLpLf61S2E66hqz0IKCCbJXzQ&usqp=CAk,Skinny Pop Original Skinny Pop 2-9 Ounce Bags
Organic Stacy's Pita Chips 28 Oz,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTty7YwHz_5uMmrnz2T0XjsAkGlGGyFQtNROc_f-fZSb9cLGz9tJPHYl-QrHck&usqp=CAk,"Dressed in nothing but sea salt, these delicious baked chips are artfully simple with an incredible crunch. Enjoy them straight from the bag, with your favorite dip, or paired with a wedge of cheese and a glass of wine."
"Nature's Garden Omega-3 Deluxe Mix, 26 oz",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZX96PxBH9_jt6gj1H2Adv6GhZks8ETNAT5jfozlf74Iv8nyYwD3qeZwEBXt8&usqp=CAk,"Nature's Garden Omega-3 Deluxe Mix, 26 oz"
"Seapoint Farms Edamame Energy Blend, 34-Ounces",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRjXiRMBnjB82DrlHko3lATAvY6p8OnNhaYw2yhsOyoXZnD6HHWh2-uFsWmHp2HjYK_bnTjcuGv&usqp=CAk,"Antioxidant-infused cranberries with blueberry pomegranate juice and natural strawberry flavor. Heart healthy. 0g trans fat. High protein. Contains soy. This product is processed in a facility that processes peanuts, tree nuts, soy, milk, wheat - gluten, and eggs."
Ferrero Nutella And Go 12 Count Box,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQj87y4nZawIlY47PijYrmAH2lGWmqXSrSdq5nooyw9Loy1vOHZQ7Mnd-a0z0ns2-FIa-thwL8O&usqp=CAk,"Enjoy the great taste of Nutella anytime, anywhere. The unique taste of Nutella hazelnut spread continues to come from the combination of roasted hazelnuts, skim milk and a hint of cocoa. In addition, Nutella has no artificial colors or preservatives. Nutella is a delicious hazelnut spread that contains quality ingredients, such as skim milk and a hint of cocoa, that moms can serve as part of a balanced breakfast. But seriously, don't put it in the fridge!! 12 packs. Ingredients: Nutella: Sugar, Palm Oil, Hazelnuts, Cocoa, Skim Milk, Reduced Minerals Whey (Milk), Lecithin as Emulsifier (Soy). Vanillin: an artificial flavor. Breadsticks: Wheat Flour, Palm Oil, Salt, Malt Extract, Baker's Yeast."
Dare Cracker Collection 5 Pack 41.28 Ounces,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSOtu6JHA5Rjtm8ZBJ56kgmSwxS3yv4PxV8DqM0YTd4NdBReWNI7RZbabfosw&usqp=CAk,Dare Cracker Collection 5 Pack 41.28 Ounces
"Calbee Snapea Crisps, 20-Ounces",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQuHOUUk-LjCssH4veLSnAtcJWWhEkW9v0fGbZqQ1ts5KkD7J8vYPDIhEol7mqCGhA8-2XL-d4F&usqp=CAk,"Delicate & tasty. Your salad never got such a lift! The pea has played an important role in dietary life and culture since the dawn of recorded history, and because of its nutritional value it has great potential for our dietary lives in the future. We are expecting to see the continuing development of Snapea Crisps as a delicate and tasty product that has taken advantage of the pea's original goodness, and we propose this product as a new type of snack. No artificial flavor and color."
General Mills Fruit By The Foot 48 x 0.75 oz,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSl33ZMJqosJYysLe56bhuNY2hR5NPjWoGhrjTesgDR6FdWD2nQeHrER77Zhw&usqp=CAk,General Mills Fruit By The Foot 48 x 0.75 oz
Terra Vegetable Chips 15 Oz,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTrr4NIJ17eXaZDremxmnWbncx0xkC2LokGNOoHvEOkRbm4D8I7kBj2pP3-tA&usqp=CAk,Terra Vegetable Chips 15 Oz
"Kirkland Signature Ancient Grain Crackers, 50.75-Ounces",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQCcMwCwA9q1nNayLdfJRg9RVytY-oMaSft5M8HXmYP-obxmvol2kmnzu1m0Ks06RE4EwVlAr6Wsg&usqp=CAk,"8 stay-fresh packs made with millet, amaranth, quinoa, and teff. Made with 6 whole grains and seeds. Great for topping, dipping, and snacking."
"Kirkland Signature Peanut Butter Filled Pretzels, 52-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQUxF-_8mNEqq7iO3kAPRQzCrmINfm96Zyw-xrbpuRqjQ-18Adeg6nd_BCI6_r1oIJUGAogpNid5Q&usqp=CAk,"Ingredients: Enriched wheat flour (contains: wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, and folic acid), peanut butter (contains peanuts, molasses, and monoglycerides & deglycerides as emulsifiers), vegetable oil (contains one or more of the following: canola oil, corn oil, or soybean oil), salt, malt, leavening (contains one or more of the following: yeast, sodium bicarbonate, ammonium bicarbonate). Contains: wheat, peanuts."
Nature Valley Protein Chewy Bar 30/ 1.42 Oz Bars,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS3GxtwDNXfYTp0ibHin4mYGF4yhWwb0Kacn-e1A_tmIKIhSCxXPyBQshNO2qFMFna6fo2MPhmD&usqp=CAk,Nature Valley Protein Chewy Bar 30/ 1.42 Oz Bars
Kirkland Signature Microwave Popcorn Movie Theater Butter 44-Count,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSINWYbVx2WaF07v7r8xMtbtN20MxQX7fagpa3rLS7GgInd7I7xIXjAXK4i9qAFhR2Q81M9-jh8ZQ&usqp=CAk,3.3-Ounce Bags - 100% Whole Grain - No Artificial Ingredients - Gluten-Free
"Kellogg's Rice Krispies Treats, 54-Count, 0.78-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTNGZWrQWs9LDjyJWatLFjEwgHzQxACn2a7IkeCCy9ipv5_5ngpAdqukrj4YMfSZGzKrlMnMTKM&usqp=CAk,null
"Fiber One Oats & Chocolate Bars, 48 ct",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTnvprZS4lLXWNj9CQB90EIVazaIAALjqe50pf3royRgICJgmUdaeu5P52V1n4&usqp=CAk,Rich chocolate chips and hearty oats help satisfy your cravings without sacrificing your healthy lifestyle.
Kirkland Signature Pistachio Nut Crisp 16 Ounce Bag,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTl8F_OH33BENwCfO9rg1U63Fbv164lGUdtZPF8qjtMd9zdOcmOr4LGF68Egsc&usqp=CAk,Kirkland Signature Pistachio Nut Crisp 16 Ounce Bag
"Sunshine Cheez-Its 45-Pack, 1.5-Ounce",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSNSpXf1xfrFMxebhXMOBjqlPrpNlImrflWyO_teRbspr2B0TSJ&usqp=CAk,"Get a lightly spiced, sharp-cheese flavor with your cracker crunch. Made with 100% real cheese. 0g trans fat. Features: 0g trans fat. 5 oz.. Food Type: Crackers Flavor: Cheese Capacity (Weight): 1. Get a lightly spiced, sharp-cheese flavor with your cracker crunch. Made with 100% real cheese."
"Pirate's Booty Aged White Cheddar, 18 oz",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQTZW_hv2rhjRQs_a0p_GXObwgLWn0fxvB4JEM9wGwuvjRuuRR4M6-v48ROumLNYJn7jFZ7Pq_3&usqp=CAk,"Pirates like their cheddar like they do their rum, aged to perfection. Aged White Cheddar is made from puffed rice and corn, blended with real aged white cheddar cheese and baked perfectly to pirate standards."
"Pacific Gold Original Beef Jerky, 2-Pack, 8-Ounces",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQb825xtAucYmhA2mncLaputXIw-yTj_BxGXc8Xdgd8DA_xGCN8zlNP58N38C5vmp5kHn_REIwp&usqp=CAk,Made from top round steak. Made in the USA. Two 8 oz resealable bags. No preservatives. No artificial ingredients. 97 percent fat free.
"Kirkland Signature Trail Mix Snack-Packs, 18-Pack, 2.5-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT69kCQSkQH4Z_42Ds9EYBRXDKYPwl8R7JPIEQhfE8F0KCVa2t3nhvXXVSNIknDXLvSfU0XYv82&usqp=CAk,"A combination of dried fruit, nuts and chocolate. Net Wt 2.81 lb (1.27 kg). Kirkland Signature trail mix contains: Peanuts, M&M's Candies, Raisins, Almonds, Cashews, Every Kirkland Signature product is guaranteed to meet or exceed the quality standards of the leading national brands."
"Pacific Gold Original Beef Jerky, 12-Pack, 1.25 Ounce",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcStvwHJTFTnTOO1dX7u9ClFeDvdIXJl7YqnLa5RKErY0Xh6iJ0rGdo43W-qRUwM4QnBVPRDMvLg&usqp=CAk,"Since 1985, Pacific Gold has been following their natural style of preparation - Solid strips cut from premium steak (top round) with added natural smoke flavor. It is best for those who enjoy uncomplicated and simple flavors mixing together. All products of Pacific Gold Beef Jerky are made from the finest U.S.D.A approved beef, blended with the highest quality seasonings. Preferred by all meat lovers, it makes a valuable choice for snacking purposes. With just the right amount of chewy texture and moisture, the savory taste is hard to resist packing on the way from home to work, school or just a stride to the park. All Natural. Minimally Processed. No Artificial Ingredients. No Preservatives Added. 97% Fat Free."
"Kirkland Signature Trail Mix, 4-Pounds",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ-mbpk-DmE-7RROyYqTISamlIUkeUpRZeqLVcJsofABt5eC1xHZRdFPKo0kjw2C0OcojaiDYO8Ug&usqp=CAk,"A combination of dried fruit, nuts and chocolate. Kirkland Signature trail mix contains: Peanuts, Raisins, Almonds, Cashews, M&M's Candies."
"Nature Valley Chewy Trail Mix Bars, 48-Count, 1.2-Ounces",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTqGDrSDmwVta2PPNLGVjJADIRdpoGbf18dkkgtvKqqfjsAoXfoFPrW9r3jT7d28rlrdwKJHqdi&usqp=CAk,"100% natural. Almond, raisin, peanut & cranberry. 8g whole grain per serving (8g of whole grain per serving. At least 48g recommended daily). No artificial colors or flavors. Carbohydrate choices 1-1/2."
Kirkland Signature Fruit Snacks 80 Ct,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ6c3S1u_9APvmdXsAYMRpWA6l3ipAeE5TD1t2Z1R3Gi4csXv1PZQeoS1STDfDNzo7j2syFRi9QmQ&usqp=CAk,Kirkland Signature Fruit Snacks 80 Ct
"Nabisco Wheat Thins, 40-Ounces",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSg_48LprMJSbUYW6JIpmy_IGlD3oazgZW_G2jrbntwd0pVOJLqkVrTVMSH2EP4YWzUACCGIvw8&usqp=CAk,"100% whole grain. 21 g whole grain (Wheat Thins Original Snacks have 21 g whole grain per 31 g serving. Nutritionists recommend eating 3 or more servings of whole grain foods per day [about 16 g whole grain per serving or at least 48 g per day]) per serving. Great taste! Now 100% whole grain. With 21 g whole grain (Wheat Thins Original Snacks have 21 g whole grain per 31 g serving. Nutritionists recommend eating 3 or more servings of whole grain foods per day [about 16 g whole grain per serving or at least 48 g per day]). No high fructose corn syrup. Always toasted, never fried."
"Golden Island Korean BBQ Pork Jerky, 14.5 oz",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTdxpIYhvUs1xQ3rE2U8GMKBmyiXkXNZy1GloZAuqBSEjWQi4rjdH3yNQ6zgyh0lorlqRVS-XV6&usqp=CAk,Ready To Eat. Gluten Free. No Preservatives. Sweet and Smoky. Resealable Bag. Made in the USA.
"Kirkland Signature Steak Strips, 12-Ounces, Extra Thick Cut",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR6xboJ01UYHzFk3L8fRfHuvsdCkGB44Y1Xh04YKFLxoJ2rqcmdnuF4CwIL6fdODBs4EPUTDStb&usqp=CAk,"Smoke Flavoring Added. Natural Style - Sliced from Whole Top Round. 98% Fat Free. Good Source of Protein. Fully Cooked. Ready-To-Eat. Refrigerate within 3 Days of Opening. Made in the USA. These Extra Thick Cut Kirkland Signature Steak Strips feature a very tender bite and an appealing complex flavor. The thick cut of top round steak, special seasonings and just the right amout of moisture are what make Kirkland Signature Steak Strips so enjouable. They deliver the flavor and texture of a seasoned steak, ready-to-eat in a convenient, resealable package. This special creation is very different from traditional meat snacks. In order to ensure lasting flavor and freshness, it is important that the bag is refrigerated within 3 days of opening."
"Organic Annie's Strawberry/Cherry Fruit Bite Pouches, 36 ct",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQIhxMMvFCGHBRlh-1hUP45iGUm4IsqZ5fMDqgz4fELQvyi4Y1ySv0XqEte38s&usqp=CAk,"Dear Friend, With fruit as the first ingredient in every pouch, Annie's Organic Orchard Fruit Bites receive thumbs-up from parents. The good news for kids (big & small) is our delicious Fruit Bites are fun to eat."
Snack Factory Original Pretzel Crisp 32 Oz (2 Lbs),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSf7KU_KAoDBmug3aPZcqhD6CshjU_NJQKqOsfxCxHn8_ae6TBvYb435iSX3WbjbPRfAHCpFukF&usqp=CAk,Snack Factory Original Pretzel Crisp 32 Oz (2 Lbs)
"Nabisco Honey Maid Graham Crackers, 57.5-Ounces",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT3gvr9NFS7jtIi4AJ_Ac3nIfOc5wL71OnnrnyBULL2mY3OdwV3calOu9bHb-Q8K9PO2E4APnA&usqp=CAk,Whole Grain Stamp: 8 grams per serving. Honey Maid Honey Grahams contain 8g of whole grain per 31g serving. Nutritionists recommend eating 3 or more servings of whole grain foods per day (about 16g whole grain per serving or at least 48g per day).
"Organic Late July Multigrain Chips, 24-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR5iI69_c6JmCMUh8IopFf3O-36ePgPeZGVV8yUuquflUgI2To_bJgDIAencJ1LG5qTDNW_PrQaXw&usqp=CAk,null
"Quaker Chewy Granola Bars, 60-Count, 0.84-Ounces",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRvrg7Y3ukNGAYSKsHMZ-2cioLePt733bFtFZp-9GZQzRuptZQGlu793GL4J9w28vbJ_U23BHIJ&usqp=CAk,30 chocolate chip; 30 peanut butter chocolate chip - flavor with other natural flavors. Real chocolate chips. 8 g whole grains. Est 1877. Chocolate Chip (per Bar): 100 calories. Peanut Butter Chocolate Chip (per Bar): 100 calories. Please recycle this carton.
"Kellogg's Nutri-Grain Cereal Bar, 1.3-Ounces, 48-Count",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRnGkjaUljIJtjWMpIufhYGa6hH-DyySgFdycgfQum0yWAr7HD7hZk-ejU46CF-ZhLcyE0ElTM&usqp=CAk,"16 bars strawberry - naturally and artificially flavored. 16 bars blueberry - naturally and artificially flavored. 16 bars apple cinnamon. More of the whole grains your body needs (8 g whole grains). Made with real fruit. Whole grain: 8 grams per serving. Eat 48 g or more of whole grains daily. Exchange: 1-1/2 carbohydrates, 1/2 fat. The dietary exchanges are based on the Choose Your Foods Exchange Lists For Diabetes, 2008 by American Dietetic Association and American Diabetes Association."
"Two Moms In The Raw, Organic Bluberry Bars, 16 Count 1 Ounce Each",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQhycUXUZuFSat_EzxID0oChvQG07p10kNKi9u5J4xRB-n9M-xRpn1CQNcMDPtKreGz2KoI0Xmm&usqp=CAk,"Two Moms In The Raw, Organic Bluberry Bars, 16 Count 1 Ounce Each"
"Nabisco Ritz Crackers, 61.6 Oz",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQdmYVKHDTqUPBW0Inu8tobeeONMSp67KNypsDOJi952-LMW4GtExchKbTpNFGVevfrTyjjJ6Mg&usqp=CAk,New pack size. Per 5 Crackers: 80 calories; 1 g sat fat (5% DV); 105 mg sodium (4% DV); 1 g sugars. See top panel for snack inspirations! Please recycle carton. Made in Mexico.
"Organic Gluten Free Mary's Gone Crackers, 20-Ounce",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSKeuy64eZIKyrDmiZKH25QwHAvkxMcBflS0oo_nue06zl-mPz9j2xBLSabAjk7N6PJ12XWptWp&usqp=CAk,null
"Popcornopolis Organic Popcorn Pack, 30 Count",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSLeA5-KZycz2O3VBtzyvc-yaMHpzcAwHf8nHmuo2BKSzWyldywZNVIbNT_KqA&usqp=CAk,"Popcornopolis Organic Popcorn Pack, 30 Count"
"Pepperidge Farms Goldfish Cracker, 58-Ounces",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ_CRmvWqyhQ8O8gpZNA9LII8z3yyHHsg7jY2jbSyO9LHfrpYNv7qYZb2Spqppa2jzbBioY8gygLw&usqp=CAk,"This box has three re-sealable bags inside. Each bag is a little over 1 pound of goldfish. Perfect for snack bowls at your party, or fill up snack bags for lunches or snack time."
Doritos Supreme Cheddar 30 Ounce,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTkNtAasEjy-Ywe9ED0kxv4zPq85ZjeawYIHAHcB1ddE0nlcIkUNqMKQANyN5B8AggQyCfC-3-q&usqp=CAk,Doritos No MSG Supreme Cheddar 30 Ounce
